Time,Tx Commit p50,Tx Commit p90
2025-06-15 22:27:12,380,573
2025-06-15 22:27:12,406,569
2025-06-15 22:27:13,395,552
2025-06-15 22:27:13,366,557
2025-06-15 22:27:14,372,553
2025-06-15 22:27:14,364,550
2025-06-15 22:27:15,366,542
2025-06-15 22:27:15,366,539
2025-06-15 22:27:16,363,535
2025-06-15 22:27:16,362,533
2025-06-15 22:27:17,361,529
2025-06-15 22:27:17,362,525
2025-06-15 22:27:18,362,525
2025-06-15 22:27:18,364,524
2025-06-15 22:27:19,367,525
2025-06-15 22:27:19,373,525
2025-06-15 22:27:20,371,523
2025-06-15 22:27:20,370,521
2025-06-15 22:27:21,375,521
2025-06-15 22:27:21,374,521
2025-06-15 22:27:22,374,519
2025-06-15 22:27:22,376,519
2025-06-15 22:27:23,376,519
2025-06-15 22:27:23,376,519
2025-06-15 22:27:24,376,519
2025-06-15 22:27:24,376,519
2025-06-15 22:27:25,376,519
2025-06-15 22:27:25,376,519
2025-06-15 22:27:26,376,519
2025-06-15 22:27:26,376,519
2025-06-15 22:27:27,376,519
2025-06-15 22:27:27,376,519
2025-06-15 22:27:28,376,519
2025-06-15 22:27:28,376,519
2025-06-15 22:27:29,376,519
2025-06-15 22:27:29,376,519
2025-06-15 22:27:30,376,519
2025-06-15 22:27:30,376,519
2025-06-15 22:27:31,376,519
2025-06-15 22:27:31,376,519
2025-06-15 22:27:32,376,519
2025-06-15 22:27:32,376,519
2025-06-15 22:27:33,376,519
2025-06-15 22:27:33,376,519
2025-06-15 22:27:34,376,519
2025-06-15 22:27:34,376,519
2025-06-15 22:27:35,376,519
2025-06-15 22:27:35,376,519
2025-06-15 22:27:36,376,519
2025-06-15 22:27:36,376,519
2025-06-15 22:27:37,376,519
2025-06-15 22:27:37,376,519
2025-06-15 22:27:38,376,519
2025-06-15 22:27:38,376,519
2025-06-15 22:27:39,376,519
2025-06-15 22:27:39,376,519
2025-06-15 22:27:40,376,519
2025-06-15 22:27:40,376,519
2025-06-15 22:27:41,376,519
2025-06-15 22:27:41,376,519
2025-06-15 22:27:42,376,519
2025-06-15 22:27:42,376,519
2025-06-15 22:27:43,376,519
2025-06-15 22:27:43,376,519
2025-06-15 22:27:44,376,519
2025-06-15 22:27:44,376,519
2025-06-15 22:27:45,376,519
2025-06-15 22:27:45,376,519
2025-06-15 22:27:46,376,519
2025-06-15 22:27:46,376,519
2025-06-15 22:27:47,376,519
2025-06-15 22:27:47,376,519
2025-06-15 22:27:48,376,519
2025-06-15 22:27:48,376,519
2025-06-15 22:27:49,376,519
2025-06-15 22:27:49,376,519
2025-06-15 22:27:50,376,519
2025-06-15 22:27:50,376,519
2025-06-15 22:27:51,376,519
2025-06-15 22:27:51,376,519
2025-06-15 22:27:52,376,519
2025-06-15 22:27:52,376,519
2025-06-15 22:27:53,376,519
2025-06-15 22:27:53,376,519
2025-06-15 22:27:54,376,519
2025-06-15 22:27:54,376,519
2025-06-15 22:27:55,376,519
2025-06-15 22:27:55,376,519
2025-06-15 22:27:56,376,519
2025-06-15 22:27:56,376,519
2025-06-15 22:27:57,376,519
2025-06-15 22:27:57,376,519
2025-06-15 22:27:58,376,519
2025-06-15 22:27:58,376,519
